ticket_id,customer_id,subject,description,status,priority,category,created_at,updated_at,agent_assigned
TKT-62725,5272b1cb-7cd9-4f85-97ac-3a296218942e,Password reset not working,Customer inquiry about password reset not working. Needs assistance with resolving this issue.,open,high,general,2025-09-10T17:35:43.090241,2025-09-22T17:35:43.090245,
TKT-31368,8179718b-29be-4fd7-83b2-f70f5cda01d6,Need help with installation,Customer inquiry about bug report. Needs assistance with resolving this issue.,open,urgent,billing,2025-08-28T17:35:43.090255,2025-09-21T17:35:43.090259,agent3
TKT-75140,1c47b4cf-0bf6-45d3-ba83-6427dd49a4df,Integration issues,Customer inquiry about bug report. Needs assistance with resolving this issue.,escalated,urgent,account,2025-09-06T17:35:43.090270,2025-09-22T17:35:43.090274,agent3
TKT-21357,8094d7e3-7e49-471d-ac98-cabb037ba58b,Password reset not working,Customer inquiry about bug report. Needs assistance with resolving this issue.,resolved,high,billing,2025-09-11T17:35:43.090284,2025-09-21T17:35:43.090288,agent1
TKT-90725,97281ff9-3a0b-4d81-8656-64fb8e1cab03,Billing question about recent charge,Customer inquiry about performance problems. Needs assistance with resolving this issue.,closed,high,product,2025-09-24T17:35:43.090297,2025-09-21T17:35:43.090301,
TKT-83509,30ec313e-6eb1-40c6-923d-6acf0f608702,Feature request,Customer inquiry about feature request. Needs assistance with resolving this issue.,resolved,urgent,general,2025-09-23T17:35:43.090311,2025-09-24T17:35:43.090315,agent3
TKT-26546,fa49d776-1b7c-4d27-a89d-b7358907c651,Bug report,Customer inquiry about password reset not working. Needs assistance with resolving this issue.,open,medium,billing,2025-09-20T17:35:43.090325,2025-09-21T17:35:43.090329,agent3
TKT-96019,b90f1261-3786-42fb-86c9-0ceb5db47e17,Feature request,Customer inquiry about refund request for order. Needs assistance with resolving this issue.,closed,high,billing,2025-09-06T17:35:43.090339,2025-09-22T17:35:43.090343,agent1
TKT-38905,76d1fafc-f02b-4a9a-9cb7-ef8444e46115,Product not working as expected,Customer inquiry about billing question about recent charge. Needs assistance with resolving this issue.,open,low,technical,2025-09-15T17:35:43.090353,2025-09-23T17:35:43.090357,agent2
TKT-40595,59c6fa68-21d6-4f61-9555-91b06eec1954,Refund request for order,Customer inquiry about billing question about recent charge. Needs assistance with resolving this issue.,escalated,urgent,product,2025-08-28T17:35:43.090367,2025-09-25T17:35:43.090371,agent2
TKT-76735,76d1fafc-f02b-4a9a-9cb7-ef8444e46115,Performance problems,Customer inquiry about billing question about recent charge. Needs assistance with resolving this issue.,escalated,low,account,2025-09-07T17:35:43.090380,2025-09-23T17:35:43.090384,agent1
TKT-80257,76d1fafc-f02b-4a9a-9cb7-ef8444e46115,Cannot log into my account,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,resolved,low,account,2025-09-06T17:35:43.090394,2025-09-25T17:35:43.090398,
TKT-32168,832a9476-7de8-434d-a6a0-8e2dc4dfb809,Performance problems,Customer inquiry about billing question about recent charge. Needs assistance with resolving this issue.,escalated,low,account,2025-09-20T17:35:43.090407,2025-09-24T17:35:43.090411,agent2
TKT-66098,a92a5ce9-a861-4485-a25b-0d7da12339af,Cannot log into my account,Customer inquiry about need help with installation. Needs assistance with resolving this issue.,escalated,low,product,2025-09-03T17:35:43.090421,2025-09-26T17:35:43.090425,agent1
TKT-74030,ec7b30a8-5fab-4960-bfbd-592ac931f93c,Account suspended unexpectedly,Customer inquiry about need help with installation. Needs assistance with resolving this issue.,escalated,urgent,general,2025-09-21T17:35:43.090435,2025-09-21T17:35:43.090439,
TKT-27420,439a59e7-73fc-4b97-b170-0283499266eb,Need help with installation,Customer inquiry about refund request for order. Needs assistance with resolving this issue.,open,urgent,general,2025-09-24T17:35:43.090448,2025-09-25T17:35:43.090452,
TKT-19437,50beee2f-0529-4190-8a50-44fb5f34902f,Integration issues,Customer inquiry about need help with installation. Needs assistance with resolving this issue.,open,medium,technical,2025-09-23T17:35:43.090462,2025-09-23T17:35:43.090466,
TKT-24297,ebdc3b76-9e96-4049-a0d7-60ca3269a50e,Technical support needed,Customer inquiry about feature request. Needs assistance with resolving this issue.,open,urgent,general,2025-09-12T17:35:43.090476,2025-09-22T17:35:43.090480,agent2
TKT-97603,7a6708c0-6fff-4214-b055-2f06c36113fe,Technical support needed,Customer inquiry about account suspended unexpectedly. Needs assistance with resolving this issue.,resolved,high,general,2025-09-01T17:35:43.090489,2025-09-26T17:35:43.090493,agent1
TKT-47005,04cfdccf-928a-4e0e-aa21-01ef1d2c7471,Bug report,Customer inquiry about account suspended unexpectedly. Needs assistance with resolving this issue.,escalated,medium,account,2025-09-10T17:35:43.090503,2025-09-26T17:35:43.090507,agent3
TKT-88445,832a9476-7de8-434d-a6a0-8e2dc4dfb809,Account suspended unexpectedly,Customer inquiry about product not working as expected. Needs assistance with resolving this issue.,closed,medium,billing,2025-09-14T17:35:43.090516,2025-09-23T17:35:43.090520,agent3
TKT-98590,7da1cc24-288b-4df7-80ce-cf2cb416437a,Performance problems,Customer inquiry about refund request for order. Needs assistance with resolving this issue.,closed,urgent,billing,2025-09-06T17:35:43.090530,2025-09-26T17:35:43.090534,
TKT-84460,899b9951-7fe6-4c92-83e5-08386fbeed5b,Technical support needed,Customer inquiry about technical support needed. Needs assistance with resolving this issue.,resolved,medium,technical,2025-09-19T17:35:43.090544,2025-09-22T17:35:43.090548,agent3
TKT-19346,92f64c7d-4dfa-452e-83c7-ede1d9a0533e,Password reset not working,Customer inquiry about feature request. Needs assistance with resolving this issue.,closed,medium,technical,2025-08-30T17:35:43.090558,2025-09-21T17:35:43.090562,agent1
TKT-32616,bdcc49b5-749e-4337-a0cd-ecd8ad67f765,Cannot log into my account,Customer inquiry about refund request for order. Needs assistance with resolving this issue.,resolved,low,general,2025-09-25T17:35:43.090572,2025-09-25T17:35:43.090606,
TKT-81002,59c6fa68-21d6-4f61-9555-91b06eec1954,Product not working as expected,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,open,medium,product,2025-09-15T17:35:43.090620,2025-09-25T17:35:43.090624,agent3
TKT-94980,1fb36725-8a13-43f9-b759-216688e12710,Refund request for order,Customer inquiry about performance problems. Needs assistance with resolving this issue.,in_progress,low,product,2025-09-17T17:35:43.090635,2025-09-26T17:35:43.090639,agent2
TKT-70150,0c125d37-0591-4d20-b5be-eb8b59c41da0,Feature request,Customer inquiry about product not working as expected. Needs assistance with resolving this issue.,closed,medium,technical,2025-08-31T17:35:43.090649,2025-09-22T17:35:43.090653,agent2
TKT-58441,04cfdccf-928a-4e0e-aa21-01ef1d2c7471,Product not working as expected,Customer inquiry about refund request for order. Needs assistance with resolving this issue.,escalated,urgent,technical,2025-09-22T17:35:43.090662,2025-09-22T17:35:43.090666,agent1
TKT-95259,ff5a03dd-2074-4924-9336-84e02e8a0a60,Integration issues,Customer inquiry about password reset not working. Needs assistance with resolving this issue.,closed,urgent,general,2025-09-06T17:35:43.090676,2025-09-21T17:35:43.090680,agent1
TKT-78033,5e2cf6d8-113d-4b9d-b0cf-d2d10166f100,Need help with installation,Customer inquiry about feature request. Needs assistance with resolving this issue.,closed,medium,general,2025-09-23T17:35:43.090690,2025-09-22T17:35:43.090694,agent1
TKT-69326,e38f6a7f-5895-456a-b35c-8e26a9880faa,Need help with installation,Customer inquiry about technical support needed. Needs assistance with resolving this issue.,resolved,high,general,2025-09-24T17:35:43.090709,2025-09-24T17:35:43.090713,agent1
TKT-54360,f70cae1b-1b25-4054-9b0a-24a120a030c0,Need help with installation,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,escalated,low,product,2025-09-25T17:35:43.090723,2025-09-24T17:35:43.090727,agent3
TKT-15397,9cceb2fe-605d-42cf-9b85-ee75fe031e0e,Account suspended unexpectedly,Customer inquiry about account suspended unexpectedly. Needs assistance with resolving this issue.,closed,high,general,2025-09-07T17:35:43.090737,2025-09-24T17:35:43.090741,agent2
TKT-16701,97281ff9-3a0b-4d81-8656-64fb8e1cab03,Bug report,Customer inquiry about feature request. Needs assistance with resolving this issue.,resolved,high,general,2025-09-24T17:35:43.090751,2025-09-25T17:35:43.090755,agent1
TKT-63701,d5ed8fae-b673-4b94-aaf2-ac7e62317472,Need help with installation,Customer inquiry about product not working as expected. Needs assistance with resolving this issue.,resolved,urgent,product,2025-09-16T17:35:43.090764,2025-09-22T17:35:43.090768,agent2
TKT-24934,a9f506b8-92fb-48ac-9d83-86a6368e227e,Billing question about recent charge,Customer inquiry about billing question about recent charge. Needs assistance with resolving this issue.,escalated,low,account,2025-09-12T17:35:43.090778,2025-09-22T17:35:43.090782,agent1
TKT-57715,c2a4e5e5-2875-4487-9f72-68d44aff762a,Product not working as expected,Customer inquiry about technical support needed. Needs assistance with resolving this issue.,closed,urgent,general,2025-09-16T17:35:43.090792,2025-09-22T17:35:43.090796,agent2
TKT-12645,45b22e3f-9e8a-4ea8-b8d8-3840125e5021,Password reset not working,Customer inquiry about need help with installation. Needs assistance with resolving this issue.,resolved,high,billing,2025-09-13T17:35:43.090806,2025-09-25T17:35:43.090810,agent2
TKT-21312,d5ed8fae-b673-4b94-aaf2-ac7e62317472,Integration issues,Customer inquiry about performance problems. Needs assistance with resolving this issue.,closed,high,technical,2025-08-28T17:35:43.090819,2025-09-24T17:35:43.090823,agent2
TKT-26632,b896402d-f71b-4278-ba98-1d987b304e3f,Technical support needed,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,open,medium,product,2025-09-22T17:35:43.090833,2025-09-23T17:35:43.090837,agent2
TKT-26483,882d3134-1397-4e28-8c59-7003690b804f,Technical support needed,Customer inquiry about technical support needed. Needs assistance with resolving this issue.,in_progress,medium,billing,2025-09-24T17:35:43.090847,2025-09-22T17:35:43.090851,agent1
TKT-98842,23603d97-a076-4f16-9b83-151417c031a2,Refund request for order,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,resolved,urgent,product,2025-09-07T17:35:43.090861,2025-09-23T17:35:43.090865,agent1
TKT-72154,bdcc49b5-749e-4337-a0cd-ecd8ad67f765,Technical support needed,Customer inquiry about billing question about recent charge. Needs assistance with resolving this issue.,closed,medium,account,2025-09-05T17:35:43.090875,2025-09-21T17:35:43.090878,
TKT-23656,daffb8e8-a511-497a-a11b-7d34601cfe93,Billing question about recent charge,Customer inquiry about feature request. Needs assistance with resolving this issue.,in_progress,high,account,2025-09-17T17:35:43.090890,2025-09-21T17:35:43.090894,agent1
TKT-86339,0b288145-258a-46f6-9263-c2db7923c780,Account suspended unexpectedly,Customer inquiry about performance problems. Needs assistance with resolving this issue.,closed,urgent,technical,2025-09-09T17:35:43.090905,2025-09-24T17:35:43.090908,agent3
TKT-62829,e15c9bcb-798c-4748-a3d4-3ae966bf7c61,Need help with installation,Customer inquiry about feature request. Needs assistance with resolving this issue.,resolved,high,account,2025-09-18T17:35:43.090919,2025-09-21T17:35:43.090923,agent1
TKT-68406,7da1cc24-288b-4df7-80ce-cf2cb416437a,Cannot log into my account,Customer inquiry about account suspended unexpectedly. Needs assistance with resolving this issue.,escalated,high,billing,2025-09-11T17:35:43.090932,2025-09-22T17:35:43.090936,agent1
TKT-71730,92d2f25d-79e3-4b7e-a2e7-8e3af5ab6cf3,Performance problems,Customer inquiry about need help with installation. Needs assistance with resolving this issue.,resolved,urgent,product,2025-08-28T17:35:43.090947,2025-09-25T17:35:43.090951,agent1
TKT-60835,04cfdccf-928a-4e0e-aa21-01ef1d2c7471,Refund request for order,Customer inquiry about bug report. Needs assistance with resolving this issue.,closed,medium,technical,2025-09-18T17:35:43.090961,2025-09-25T17:35:43.090965,agent3
TKT-60673,b90f1261-3786-42fb-86c9-0ceb5db47e17,Refund request for order,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,resolved,high,product,2025-09-01T17:35:43.090974,2025-09-26T17:35:43.090978,
TKT-47346,7dfff454-b94f-4d2a-b4b3-47d85d255625,Integration issues,Customer inquiry about integration issues. Needs assistance with resolving this issue.,resolved,low,general,2025-09-10T17:35:43.090992,2025-09-21T17:35:43.090996,agent1
TKT-51530,8094d7e3-7e49-471d-ac98-cabb037ba58b,Refund request for order,Customer inquiry about refund request for order. Needs assistance with resolving this issue.,escalated,low,technical,2025-09-01T17:35:43.091006,2025-09-23T17:35:43.091010,agent1
TKT-65266,92d2f25d-79e3-4b7e-a2e7-8e3af5ab6cf3,Integration issues,Customer inquiry about bug report. Needs assistance with resolving this issue.,resolved,urgent,billing,2025-09-24T17:35:43.091020,2025-09-26T17:35:43.091023,agent2
TKT-25805,8c29fbd6-6b9e-4a3a-a8f6-2a2f67b58012,Billing question about recent charge,Customer inquiry about refund request for order. Needs assistance with resolving this issue.,escalated,high,billing,2025-09-20T17:35:43.091033,2025-09-23T17:35:43.091037,
TKT-24015,320a44a0-d12e-4ef2-94b5-dd7ee0cfb86d,Bug report,Customer inquiry about need help with installation. Needs assistance with resolving this issue.,open,urgent,general,2025-09-01T17:35:43.091047,2025-09-23T17:35:43.091051,agent1
TKT-53816,368df575-a13f-4eec-bb71-10a3af32d14a,Integration issues,Customer inquiry about refund request for order. Needs assistance with resolving this issue.,resolved,urgent,general,2025-09-02T17:35:43.091060,2025-09-25T17:35:43.091064,agent1
TKT-20071,0d185f4e-c02e-471f-b174-aaa9cd45d51b,Bug report,Customer inquiry about product not working as expected. Needs assistance with resolving this issue.,resolved,urgent,product,2025-09-04T17:35:43.091074,2025-09-21T17:35:43.091078,agent3
TKT-96177,8094d7e3-7e49-471d-ac98-cabb037ba58b,Cannot log into my account,Customer inquiry about bug report. Needs assistance with resolving this issue.,open,medium,billing,2025-09-17T17:35:43.091100,2025-09-26T17:35:43.091103,
TKT-41297,7e18add3-efef-4baa-8bc4-48ed79ce422a,Password reset not working,Customer inquiry about billing question about recent charge. Needs assistance with resolving this issue.,open,urgent,account,2025-09-12T17:35:43.091118,2025-09-22T17:35:43.091122,agent2
TKT-34201,b267d350-0b40-4744-a757-32725918caa4,Technical support needed,Customer inquiry about technical support needed. Needs assistance with resolving this issue.,closed,medium,account,2025-09-19T17:35:43.091131,2025-09-24T17:35:43.091135,agent3
TKT-40223,0c125d37-0591-4d20-b5be-eb8b59c41da0,Performance problems,Customer inquiry about password reset not working. Needs assistance with resolving this issue.,in_progress,urgent,technical,2025-09-13T17:35:43.091144,2025-09-21T17:35:43.091148,agent2
TKT-18333,51c9f05f-4ecb-4f26-838d-34951421a2ae,Password reset not working,Customer inquiry about bug report. Needs assistance with resolving this issue.,in_progress,high,billing,2025-09-06T17:35:43.091157,2025-09-23T17:35:43.091161,agent3
TKT-75571,04cfdccf-928a-4e0e-aa21-01ef1d2c7471,Need help with installation,Customer inquiry about refund request for order. Needs assistance with resolving this issue.,resolved,low,account,2025-09-11T17:35:43.091170,2025-09-25T17:35:43.091174,agent3
TKT-55647,f9de0851-dd7d-4de8-8414-51c9a1ddbf8c,Need help with installation,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,closed,medium,technical,2025-09-01T17:35:43.091183,2025-09-25T17:35:43.091186,
TKT-78205,e15c9bcb-798c-4748-a3d4-3ae966bf7c61,Integration issues,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,in_progress,high,general,2025-09-16T17:35:43.091195,2025-09-23T17:35:43.091199,agent1
TKT-16309,30ec313e-6eb1-40c6-923d-6acf0f608702,Bug report,Customer inquiry about bug report. Needs assistance with resolving this issue.,closed,medium,general,2025-09-07T17:35:43.091208,2025-09-24T17:35:43.091211,
TKT-35694,e6df524a-11ed-460a-b78f-6af073488390,Technical support needed,Customer inquiry about technical support needed. Needs assistance with resolving this issue.,open,high,product,2025-09-18T17:35:43.091239,2025-09-23T17:35:43.091243,agent2
TKT-80679,273fed2c-fff1-49c4-b230-f718edb59d91,Feature request,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,resolved,low,product,2025-09-07T17:35:43.091253,2025-09-24T17:35:43.091257,
TKT-65173,694edda6-17aa-4ff8-8d5b-7e2bf3c3c5c0,Need help with installation,Customer inquiry about account suspended unexpectedly. Needs assistance with resolving this issue.,closed,urgent,account,2025-09-10T17:35:43.091267,2025-09-24T17:35:43.091271,agent1
TKT-82346,7020e75d-5a68-4d1e-9860-34e70c5d5741,Technical support needed,Customer inquiry about feature request. Needs assistance with resolving this issue.,closed,medium,general,2025-09-24T17:35:43.091280,2025-09-21T17:35:43.091284,agent2
TKT-34432,a80aac33-aa08-481e-bc84-34cda37d6dbb,Bug report,Customer inquiry about account suspended unexpectedly. Needs assistance with resolving this issue.,escalated,medium,billing,2025-09-15T17:35:43.091299,2025-09-25T17:35:43.091303,agent2
TKT-23234,b267d350-0b40-4744-a757-32725918caa4,Performance problems,Customer inquiry about billing question about recent charge. Needs assistance with resolving this issue.,resolved,low,account,2025-09-05T17:35:43.091313,2025-09-23T17:35:43.091317,
TKT-73634,8094d7e3-7e49-471d-ac98-cabb037ba58b,Billing question about recent charge,Customer inquiry about technical support needed. Needs assistance with resolving this issue.,in_progress,low,billing,2025-09-14T17:35:43.091331,2025-09-23T17:35:43.091335,
TKT-45428,0bc335d8-8773-4027-aa2b-b1361c09831c,Cannot log into my account,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,resolved,low,billing,2025-09-14T17:35:43.091344,2025-09-22T17:35:43.091348,agent3
TKT-98363,38897aee-8103-4916-a71e-a94492e6119a,Cannot log into my account,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,escalated,high,account,2025-08-28T17:35:43.091358,2025-09-25T17:35:43.091362,
TKT-63767,694edda6-17aa-4ff8-8d5b-7e2bf3c3c5c0,Account suspended unexpectedly,Customer inquiry about refund request for order. Needs assistance with resolving this issue.,open,urgent,account,2025-09-25T17:35:43.091372,2025-09-24T17:35:43.091376,agent1
TKT-76771,84102805-beba-47f4-bc0b-29e52968b7a9,Product not working as expected,Customer inquiry about refund request for order. Needs assistance with resolving this issue.,closed,low,billing,2025-08-28T17:35:43.091386,2025-09-24T17:35:43.091390,agent2
TKT-93564,a24ed667-0757-45c8-bb1b-00ae4e19de1d,Integration issues,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,closed,medium,product,2025-08-29T17:35:43.091400,2025-09-23T17:35:43.091404,
TKT-67002,5c95e597-dd44-43cc-ac0e-c5c28327f61c,Password reset not working,Customer inquiry about refund request for order. Needs assistance with resolving this issue.,in_progress,urgent,billing,2025-09-16T17:35:43.091413,2025-09-23T17:35:43.091421,agent2
TKT-58755,868d0d96-2388-4e6f-8099-97a53e7fbdd6,Product not working as expected,Customer inquiry about technical support needed. Needs assistance with resolving this issue.,closed,urgent,technical,2025-09-08T17:35:43.091431,2025-09-24T17:35:43.091435,agent2
TKT-71107,ee56bffa-ed03-4729-8790-2117f98d1194,Integration issues,Customer inquiry about bug report. Needs assistance with resolving this issue.,closed,low,technical,2025-08-27T17:35:43.091445,2025-09-25T17:35:43.091448,agent3
TKT-36931,84102805-beba-47f4-bc0b-29e52968b7a9,Bug report,Customer inquiry about performance problems. Needs assistance with resolving this issue.,open,medium,general,2025-09-01T17:35:43.091458,2025-09-21T17:35:43.091462,agent2
TKT-17558,cab3c30c-b502-47a3-89b6-75ce045fe8b2,Product not working as expected,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,open,low,account,2025-09-12T17:35:43.091472,2025-09-22T17:35:43.091522,agent1
TKT-47433,38f5bd7c-b72c-42be-8766-b03f8ebcae66,Password reset not working,Customer inquiry about account suspended unexpectedly. Needs assistance with resolving this issue.,escalated,urgent,product,2025-09-02T17:35:43.091537,2025-09-26T17:35:43.091542,agent1
TKT-86570,daffb8e8-a511-497a-a11b-7d34601cfe93,Billing question about recent charge,Customer inquiry about cannot log into my account. Needs assistance with resolving this issue.,open,medium,technical,2025-09-15T17:35:43.091552,2025-09-26T17:35:43.091556,agent1
TKT-66844,694edda6-17aa-4ff8-8d5b-7e2bf3c3c5c0,Billing question about recent charge,Customer inquiry about need help with installation. Needs assistance with resolving this issue.,resolved,medium,general,2025-09-22T17:35:43.091565,2025-09-23T17:35:43.091569,agent3
TKT-65938,b5d06130-97eb-480e-9daf-ae2e7c0dc0d1,Refund request for order,Customer inquiry about password reset not working. Needs assistance with resolving this issue.,in_progress,high,account,2025-09-01T17:35:43.091618,2025-09-21T17:35:43.091626,
